Thai,English
กลมกล่อม,mellow
แขวน,hang
ขวัญ,soul;spirit;happiness;prosperity
ขวิด,gore
คว้น,smoke
คว่ำ,upside down
เกวียน,cart
แกว่งไกว,swing
ขวนขวาย,strive
เคว้งคว้าง,drift
ขวาน,axe
ขว้าง,to pitch or throw (like a disc)
หยอด,drop
เหงื่อ,sweat
หลง,creep;crawl;to be lost or engrossed in something
หญ้า,grass
หมอก,fog
หวีด,scream
หงาย,to face
หรู,luxury
กึ่ง,semi
จมูก,nose
ขนาน,parallel
สนิท,close
ขมิ้น,turmeric
สมุน,subordinate
พลิก,to turn over
บันได,stairs
ขยัน,diligent
ถลอก,scrub;scratch
สนอง,to meet expectations;to satisfy desires
ขยุกขยิก,scratch
ผัน,conjugate
สกด,final consonant in Thai and Lao
เฝ้า,guard
เดิม,original
กล้วยไม้,orchid
อม,suck
อมยิ้ม,lollipop
ยางลบ,eraser
ลูกโป่ง,balloon
แม่เหล็ก,magnet
เรืยบเริยง,to compose
ใจความ,essense;gist
ผู้ถูกกระทำ,subject (parts of speech)
เกาะ,island;to cling;to perch
ปลาทู,mackerel
ป่วย,sick
บาน,to blossom;a classifier for doors
ประธาน,primary
กรรม,duty;action
ซ่อม,to repair
สือสาร,to communicate
ควบคู่,to bundle together;in tandem
สมบูรณ์,to complete;to be perfect;to be flawless
มารยาท,etiquettes;manner;behavior
สอดแทรก,to interfere
เหมาะสม,appropriate
ปรบมือ,to applaud
เกียรติ,honor
ถ้อยคำ,phrase;words
น้ำเสียง,tone
นุ่มนวล,gentle
เปรียบเทียบ,compare
บวก,addition
ประโยค,sentence
สัญลัก,symbol
ไอศกรีมกะทิ,coconut milk icecream
แท่ง,stick;bar (like an ice cream bar)
สลับ,interchange
ประโยคสัญลัก,equation
โจทย์,parts of a math problems
ตรวจสอบ,examine
สม,to be suitable
ตัวตั้ง,initial value
ชิ้น,piece;item
สัมพันธ์,relationship
ทราบ,to know
ใบ,a classifier for bottle and flat objects
ตั้งอยู่,to be located or situated
เครื่งหมาย,mark;sign;+-*/
รถเก๋ง,sedan
รถกระบะ,pickup truck
ครบ,to complete
ไม่ว่า,no matter
ฝ้าย,cotton
กระจกมองหลัง,rear view mirror
เกะกะ,disorderly
คดี,case
อำนวย,to assist
ขโมย,steal
ตำรวจสายตรวจ,patrol police
สวม,wear
ปลอกคอ,collar
พระราชฐาน,palace
ตรวจตรา,patrol
สันติบาล,special branch
สืบสวนสอบสวน,investigate
มอบ,to give
เสึยสละ,to sacrifice
ตำนาน,legend;myth
พิธี,ceremony
วิวา,wedding
หวานใจ,sweetheart
ล่าสุด,latest
สดใส,bright
ลึกลับ,mysterious
สกปรก,dirty
ร้าง,abandon
ตกปลา,to fish
ตกเบ็ด,to fish with a hook
เย็บ,sew
หยิบ,pick
สาบาน,swear
แทง,stab
ซาบซึ้ง,appreciate
ชี้,to point
ส่องด่วน,quick look
น้ำท่วม;การณ์อุทกภัย,flood
ลุ้นโชค,lucky draw
งวด,installment
การกระทรวงกลาโหม,ministry of defense
รางวัล,prize;reward
การแข่งขัน,competition
สลบหน้าทิ่ม,to pass out
บุคลิก,personality
นำเสนอ,to promote
เปิดตัว,launch
ตบ,slap
ยืน,stand
คิดออกแล้ว,figure it out
เฉย,indifferent
เหตุการณ์,event
ยื่น,to hand;to submit
สนุกสนาน,fun
เงียบสงบ,tranquil
อยู่ไม่สุข,be naughty;be restless
การซ่อมแซม,tinker
อวดกัน,to show off
หลงทาง,be lost;wander
เดือดร้อน,troubled
เสด็จลง,descend
รับเสด็จ,to welcome
ตักบาตร,to give alms to a Buddhist monk
สมัย,era
เต็มที่,fully
ได้ข่าว,to hear a news
อ่อนแอ,weak
ลิ้นชัก,drawer
สงสาร,pity
เข้ม,intensive;be dark
ประหยัด,save;conserve
ปู,crab;to spread a sheet or a mat
ผัด,stir fry
ทอด,deep fry
อบ,bake
ย่าง,to grill
ดาม,a classifier for pen
ลำ,a classifier for hollow objects like airplane
ขีด,100 grams
ปอก,to peel
หัน,turn;slice
ฝา,split; like splitting a watermelon into two parts
ฝาน,to slice into thin slices
แล่,to slice meat into thin strips
มังคุด,mangosteen
เงาะ,rambutan
มะเขือเทศ,tomato
แตงกวา,cucumber
ข้าวโพด,corn
หัวไชเท้า,radish
มะระ,bitter gourd
เห็ดเข็มทอง,golden needle mushroom
อ้วน,fat
ขี้เหร่,unattractive
ต้นหอม,spring onion
หอมหัวใหญ่,onion
ผักกาดขาว,chinese cabbage
กะหล่ำปลี,cabbage
ผักกะน้า,kale
ผักบุ้ง,morning glory
เก็กฮวย,chrysanthemum
อัญชัน,butterfly pea
มะตูม,bael
กระเจี๊ยบ,roselle
ตะไคร้,lemon grass
ใบบัวบก,centella asiatica
ลำไย,longan
ทับทิม,pomegranate
จืด,clear;bland
น้ำส้ม,orange juice
พริกป่น,chili powder
เรือน,house;a classifier for watches
คาง,chin;a classifier for a paired item
ตุ้มหู,earring
เส้น,line;a classifier for thread like objects
เข็มขัด,belt
สร้อย,necklace
วง,loop;a classifier for rings
กำไล,bangle
รองเท้าหนัง,leather shoes
รองเท้าผ้าใบ,canvas shoes
รองเท้าแตะ,sandals;flip-flops
รองเท้าส้นสูง,high-heel shoes
เสื้อยืด,t-shirt
เสื้อโปโล,Polo shirt
เสื้อคอปก,turtle neck shirt
เสื้อผ้าฝ้าย,cotton shirt
เสื้อไหม,silk shirt
เสื้อเชิ้ต,shirt
เพชร,diamond
ยาง,rubber
เหล็ก,iron (metal)
กระดาษ,paper
ผลิต,manufacture
กล่อง,box
วงเวียน,roundabout
เครื่งสำอาง,cosmetics
ยึด,to seize;to fasten a screw
คอย,wait;watch
คอยตรวจ,keep checking
ทา,paint
ผมม้า,hair bangs
ประเด็น,gist;main subject
พร่ำ,insist
ปู่,paternal grandfather
ย่า,paternal grandmother
ตา,maternal grandfather
ยาย,maternal grandmother
ลุง,uncle (older)
ป้า,aunt (older)
น้า,maternal uncle or aunt (younger)
อา,paternal uncle or aunt (younger)
ลูกพี่ลูกน้อง,cousin
ผอม,thin
ร่าเริง,cheerful
อารมณ์,mood
อารมณ์ดี,good-tempered
ใจร้อน,hot-tempered
ตลก,funny
ใจเย็น,calm
ใจกว้าง,broad-minded
ขี้เกรงใจ,considerate
ขี้โมโห,grumpy
ขี้บ่น,fussy
ขี้อาย,shy
ขี้เกียจ,lazy
ขยัย,diligent
หย่า,divorce
นักศึกษา,university student
ทนาย,lawyer
ชาวนา,farmer
เจ้าของ,owner
บริษจ,company
คนงาน,worker
ทหาร,soldier
นักร้อง,singer
วิศวกรร,engineer
หมอฟัน,dentist
สถาปนิก,architect
เลขา,secretary
ศิลปิน,artist
ดารา,celebrity
ข้างบน,upstairs
ข้างล่าง,downstairs
ของใช้,appliances
เตา,stove
เตาอบ,oven
สบู่,soap
ยาสีฟัน,toothpaste
ผงซักฟอก,washing powder
สัตว์เลี้ยง,pet
ตัว,a classifier for animals
ดุ,fierce
ชวน,invite
ฝากข้อความ,to leave a message
สักครู่,a moment
กรอกแบบฟอร์ม,fill out a form
ตำบล,sub-district
อำเภอ,district
รัฐ,state
รหัส,zipcode;password
เช่นกัน,also;too
เข่า,knee
เอว,waist
เป็นไข้,have a fever
เป็นหวัด,have a cold
กลืน,to swallow
ดูด,to suck
เคี้ยว,to chew;to masticate
บ้วน,expectorate
ถ่มน้ำ,to spit
ถุย,to spit (as scorn or disdain)
แดก,to gorge
เลีย,to lick
อ้า,to open the mouth
หัวคิ้ว,head of an eyebrow (near the nose)
สาหร่าย,seaweed
รีบ,to rush
อ้าง,to claim
ใส่ใจ,to pay attention
หัด,to learn
ซะ,indicates emphasis or a command
หาว่า,to accuse
ประชด,sarcastic
แน่น,crowded;tight
หน,direction;instance
เหมาะ,to be appropriate
นึก,to contemplate
ส้มอิฐ,brick orange
ฉีด,inject;spray
เพลิน,to enjoy
กรีด,to scream;to sharpen
สั่งสม,to accumulate
เงา,shadow
กระทบ,to affect
แก่แดด,precocious
โบราณ,ancient
ครอบงำ,to dominate
ฉาย,to shine;to emit light
ไพ่,playing cards
คุกเข่า,kneel
ข้อศอก,elbow
ข้อ,joint
ไอ,cold (disease)
เสมหะ,phlegm
ลูกกระเดือก,adam's apple
ผ้าพันคอ,scarf
สำลัก,to choke
สะอึก,hiccup
เกี่ยวข้อง,relevant
เป๊ะ,exactly
สีพื้นๆ,plain colors
เรียบร้อยกว่าเยอะ,go above and beyond
ฉูดฉาด,flashy
เมื่อกี้,a moment ago
ฉบับ,"a classifier for documents, newspapers and emails"
ซอง,envelope
ตรงมุม,in the corner
ตรงมุมบน,in the upper corner
ตรา,seal
ปั๊ม,a classifier for seals (document) and pumps
สัมมนา,seminar
โดยตรง,directly
บุคคล,person;individual
ย่าน,region;area;neighborhood
ผัง,chart;diagram;plan;layout
สี่เหลี่ยม,quadilateral;four-sided
จัตุรัส,square
ก้อน,"a classifier for lumps, bread and butter."
เพราะฉะนั้น,therefore
ทรงกลม,round;sphere
ล่วงหน้า,in advance
งานจัดแสดง,exhibition
ช่วงลดราคา,discount sale
สีฟ้าสด,sky blue color
นิตยสาร,magazine
สีโทนขรึม,calmer colors
ถัด,next (in level)
ผมหยิก,curly hairs
กระเป๋าสตางค์,wallet
แย่,terrible;bad
แตะ,to touch or feel (by hand)
พรีเซนต์งาน,presentation
คาบ,class period;interval;to carry in the mouth or beak
ไม่ค่อยได้,it's not really possible
งี้,like this
ฝาแฝด,twins
ยิ่ง,extremely
สำรวจ,to survey
บทความ,article;essay
วิชาพละ,physical education
ยอดนิยม,highly popular
พยากรณ์,to forecast
บางช่วง,occassionally
คาดว่า,to estimate;to expect
พื้นที่,area;location
ฝนฟ้าคะนอง,thunderstorm
ฝนฟ้าคะนองกระจาย,scattered thunderstorms
ใกล้เคียง,similar to;close to;adjoining
เฉลี่ย,average
ฝ่าย,group;department;a classifier for groups
แผนก,division
คดเคี้ยว,winding (like a windy road)
วกวน,meander;go in circle;
เลิกรา,to break up;to part ways
ฝั่ง,bank;coast
คาดเดา,to estimate;to expect
ลบเลื่อน,to fade away;to vanish
คุ้น,conversant in;intimate with;familiar
ไม่กี่,not many
กำจัด,to get rid off;to dispose
พริกตา,to blink
เช็ด,to wipe
สัมผัส,to feel (touch or contact)
การคาดณ์,speculation;prediction
สะดุด,to stumble over
สะดุดใจ,to be reminded of;to have someone's attention
ล้ม,to collapse;to fall
ทน,to endure
จาม,to sneeze;to cut someting completely
ดัน,to shove
ความดัน,pressure
รังเกียจ,repugnant;to hate;to abhor
ทึ่ง,to be wondered; to be amazed
กลม,a classifier for large round liquor bottles;circular;round
เผลอ,reckless;absentminded
เผลอยิ้ม,smile (inadverently)
กระทั่ง,upto;as far as
จังหวะ,rhythm
ทั้งที,while;even though;in spite of
เปลือยอก,topless
คล้อง,to loop around;to put around
ดลใจ,to influence;to motivate
สังเคราะห์,to synthesize
ล้ำค่า,priceless;invaluable
รวด,in a gulp;at once
ท่อน,mid-section;trunk of the body
ท่อนบน,upper section
บ่งบอก,to indicate;to point to
เผา,to burn
คั่ว,to roast
พาด,to lean on;to rest on;to place on
เยือน,to visit
ทีละ,one by one
สำออย,to pretend to cry;to implore or cajole
ยักไหล่,to shrug
ปุ๊บ,abruptly
ข้อมือ,wrist
เถาวัย์,a large vine
เสพตีด,addictive
อุดมการณ์,ideology
ตบไหล่,pat on the back
เง้า,to raise eyebrows
สหภาพ,union
อวด,to boast;to show-off
บุคลากรทางการศึกษา,education personnel
ประหลาดใจ,to be amazed in wonder
คาดหวัง,to expect
มัว,cloudy;a prefix for a verb to indicate being absorbed in that action.
เหลือบ,side eye but looking for a longer duration
แขน,arms
กางแขน,open arms
กอดอก,crossed arms
ชูมือ,to raise a hand
เบ่งกล้าม,to flex muscles
คล่องแขน,arm in arm (on a date)
เหยียดแขน,to stretch arms
ท้าวแขน,hand on hips
จ้อง,stare
เหล่,side eye (push eyeball close to the nose)
ขยิบตา,wink
หัว,head
หนูน,to support the head with something
ส่ายหัว,to nod sideways
ผงก,to nod (vertical)
ผะยักหน้า,to nod repeatedly (vertical)
ดม,the act of smelling
ได้กลิ่น,to smell (general)
สูด,deep breath
หอม,to smell (pleasant smell)
เหม็น,to smell (pungent smell)
ฉุน,to smell something that triggers a sneeze (like frying chillis)
ผม,hair
สั้น,short
ยาว,long
หวี,comb
ม้วนผม,to curl hairs
ถัก,to braid hairs (ponytails)
หยักผม;หยิกผม;ดัด,to curl hairs
ร่วงผม,hairfall
ย้อม,to dye
ยืดผม,to straighten hairs
กันผม,to make hair arts
แกะลายผม,to pleat hairs
ฟู,dishevelled hairs
ส่ายเอว,to swerve or sway (waist)
หมุนเอว,to swirl the waist
รอบเอว,waist (size)
เคืองเอว,sore waist
มือ,hand
กามือ,fist
ถือ,to grasp
ต่อย,to punch
ชัก,to pull at (in a fight);to have convulsions
จี้,to tickle
บีบคอ,to choke
ตัก,to scoop;to ladle out
ขา,leg
เตะ,to kick
ถีบ,to push with a foot (like paddling a bike)
กระโดด,to jump
เหยียบ,to step on something;to tread
ขัดสมาธิ,to sit with the legs crossed
หู,ear
ได้ยิน,to hear
ฟัง,to listen
หนวกหู,deafening sound
หูหนวก,deaf
หูกาง,spread out ears
เจาะ,to drill
ดับ,muffled hearing
แวว,shrill sound
เพราะ,because;melodious or pleasant sound
ได้แก่,namely
กำกับ,control;regulate
ปลิง,leech
ตู้หยอดเหรียญ,vending machine
ศอก,elbow
กระทุ้ง,to jab (like jabbing an elbow into someone's stomach)
สีข้าง,flank;side-portion of the body between ribs and hips
วับๆแวมๆ,to flash or glisten
ช่องว่าง,gap
เบือน,to turn away
รอง,to collect (liquid) under (a spout)
เต่งตึง,be elevated and firm (like breasts or muscles)
ขนาดกำลังพอดี,the size is just right
เด้ง,bounce
ม่าน,curtain
โครง,structure
โครงข่าย,network
ทำตัวเกินเหตุ,overreact
อิสระเสรี,liberty
กระอักกระอ่วน,to feel uneasy or awkward
กลางคัน,halfway
ขยำ,to mix or squeeze with hands (like breasts or dough)
เต็มไม้เต็มมือ,to the best of one's ability; with full strength
ร่วง,fall
ง่อนแง่น,be rickety or unstable (like old stairs)
สาหัส,serious
ผู้ก่อเหตุ,culprit
บทลงโทษ,penalty or punishment
ประท้วง,protest
แอบมอง,to peek
หุ่น,figure (body)
พูดจา,to converse
กระซิบกระซาบ,to whisper
คิกคัก,to giggle
กล้ำกลืน,to swallow (words or pride)
สิ้นเรื่อง,end of story (a phrase)
เอร็ดอร่อย,delicious
โด่งดัง,to be famous
ประเมิน,to estimate;to rate
ไม่ใช่ความเป็นไปได้,it's not a possibility.
รุ่ง,Dawn
พลุ,fireworks
กะทันหัน,suddenly
ถอดใจ,to be discouraged; to give up
นักเขียนนิยาย,fiction writer
ด่า,to abuse or swear
กล่าว,to say; to deliver a speech
หวน,to turn back
สาดเสียเทเสีย,to yell at someone;to criticize harshly
ผสมปนเป,to confuse; to puzzle
เอ่ย,to begin to speak
ลังเล,to hesitate;to be confused between choices
เปล่งเสียง,to sound
บทสรุป,conclusion
รุ่นคุณปู่คุณย่า,the generation of grandparents
ระเบียบ,order
ปรากฏการณ์,phenomenon
ผู้วิจัย,researchers
ภาวะ,condition
วิกฤต,crisis
ไร้เป้าหมาย,aimless;purposeless
มุมมอง,perspective
ผลกระทบ,effect
อัตราการเกิด,birthrate
แรงงาน,labor
ขาดแคลน,shortage
บุคลิกสุดโต่ง,extreme personality
สันโดษ,detached
ปฏิสัมพันธ์,interaction
ย่างต่อเนื่อง,continously;consistently
ปลีกวิเวก,secluded
บันดาลใจ,inspire
เชื่อมโยงกัน,connected
เทพนิยาย,fantasy
เวิ้งว้าง,be wide;be open;be immense
ทฤษฎี,theory
พื้นฐาน,basic
ปฏิบัติ,to act;to carry out
วัด,to measure;a temple
มาตรฐาน,standard
เรียง,to arrange
เลอค่า,precious
พิพิธภัณฑ์,museum
ชุมชน,community
อ้างอิง,to refer
ถิ่นฐาน,abode;hometown
กำเนิด,origin;to be born
จิตวิญญาณ,soul;spirit
ขี้เหล็ก,a type of tree in Thailand
คว้ารางวัล,to win a prize
ซ้อนท้าย,to sit behind the rider
ซ้อน,to overlap;to interlude
หลายครั้งหลายครา,many times
ถวิลหา,to yearn
บ่ม,to ripen;to mature
เพาะ,to cultivate;to culture
แปลง,to transform;to disguise
โฉม,appearance;looks
พิกัด,coordinates;tariff
ปัญญา,intellect
ท้องถิ่น,local
หว่าน,to sow
เรียกขาน,to name;to call
ขยาย,to expand;to extend
ก้าน,stem;stalk
ถนัด,expertise
ประกาย,spark;flash
ก่อให้เกิด,to cause
ชนบท,countryside
ความเห็น,opinion
อนุทิน,journal
วิทยากร,lecturer
เก็บตก,to pick;to collect
ปฐมนิเทศ,orientation
เยาวชน,youth
ชมรม,club
นิสิต,undergraduate
ค่าย,camp
กระบวนการ,process;procedure
ยึดโยง,to fix;to attach;to fasten
บ่งชี้,to indicate;to point at
เวที,stage
องค์กร,organization
ส่งเสริม,to promote
วัฒนธรรม,culture
แวดวง,circle (like a circle of friends)
โควตา,quota
แคน,a kind of reed mouth organ in Thailand
ค่อนข้าง,rather
สำรอง,to reserve;to put aside
ครอบครอง,to own;to posses
แหล่ง,source
กระแส,current;flow
ประเทศพัฒนา,developed country
ลำพัง,alone
พัง,to break up
หน้าหนา,be brash;be brazen
ค้าง,be unfinished;to remain;to be stuck
ชุดชั้นใน,undergarments
พลัน,promptly;at once
เสื้อฮู้ด,hoodie
รสนิยม,taste
กระนั้น,nevertheless
สลัด,to shake off
ไร้สาระ,nonsensical
เชยชม,to fondle
สิ้นดี,extremely
ญาติ,relatives
แหล่งท่องเที่ยว,tourist attractions
พื้นบ้าน,local
ทัศนียภาพ,scenery
ปะการัง,coral
สมมติ,to suppose;to assume
โอ่ง,jar
ยังงี้,like this
สื่อ,medium;media
สื่อสาร,to communicate
บิดเบือน,to distort;to twist
ประทับใจ,to be impressed
ท้าทาย,to challenge;to dare
บุกรุก,to invade;to tresspass
อนุรักษ์,to conserve
รักษา,to maintain
สำนึก,to realize;to be conscious
หม้อ,pot
กะละมัง,basin
ถัง,tank;bucket
สุม,to pile;to start a fire or put oil in the fire
ท่ามกลาง,among;amidst
พยักหน้า,to nod (in assent)
ประทาน,to grant;to bestow
ฉุกคิด,to realize suddenly;to dawn on
แย่ง,to snatch
กู้ภัย,to rescue
งานอดิเรก,hobby
คำนึงถึง,to consider
ความเรียบง่าย,simplicity
แกะ,to engrave;sheep
สร้างสรรค์,to create;to design
บัตร,card
รายรอบ,to surround;to encircle
อุทกภัย,flood;deluge
ชะตากรรม,fate;destiny
ห้วง,expanse;vastness
วิกฤติ,crisis
ศูนย์ประสานงาน,coordination center
เครือข่าย,network
ผสาน,coordinate
ภัย,danger
อาสา,volunteer
ผนึก,to bind;to tie;to seal tightly (like a bottle)
ชำนาญ,expert;experienced;skilled
อึกทึกครึกโครม,disorderly;rowdy;vociferous
ปราการ,fortifications;fort;fence
ทรง,to maintain;to hold up
มารยา,deceit;artifice
ราคี,defect;sexual desire
ขมับ,the temple (of the head monk)
ตราหน้า,to denounce
สรรพคุณ,properties;characteristics
สูดดม,to inhale;to sniff
วิงเวียน,to be giddy;to be dizzy
สมุนไพร,herb
กระปุก,pot;jug;jar;a classifier for pot or jar like objects
ลอด,a classifier for pipe like objects
แมลง,insect
ง่วง,to be sleepy
ชื่น,be joyful;be delighted;be refreshed
ห่อ,wrap;envelop
ฉลาก,label
เขย่า,to shake (like shake a bottle before use)
พก,to bring;to carry (like carrying a medicine alongwith)
ยาหม่อง,balm
แกล้ง,to tease;to prank
แสบ,to sting (like from chillis);to be sore
เห,to turn;to swerve
บุคลิกภาพ,personality
ปอดชื้น,lung disease
อำนาจ,power
สุนัขจิ้งจอก,fox
ร่องรอย,clue;traces
ล่วงเลย,to slip away;to lapse
อาณาจักร,kingdom;territory
ครองแผ่นดิน,to rule;to reign over
หุบ,valley;ravine;gorge
สวมใส่,to wear;to don;to put on
จาง,to decrease;to fade
เที่ยว,trip
ท่อง,to wander;to recite
บ่น,to mutter
แม่สูตรคูณ,multiplication table
ปรารถนา,to wish;to yearn;to desire
ประสงค์,purpose;will
เสนอ,to offer
หัวข้อ,topic
ใคร่,to desire
ใคร่ครวญ,to contemplate
สกัด,to chisel out
สิ่ว,chisel
ชะมัด,extremely;terribly;awfully
สยอง,to be terrified
ไร้เดียงสา,to be senseless
เดียงสา,to be sensible
เร่งเร้า,to urge;to push
เปล่งประกาย,to radiate and shine (like shining eyes)
โล่งใจ,to be relieved
ชักจะ,getting to;beginning to (like beginning to change mind)
พักใหญ่,for a while;a long time
ความคาดหมาย,expectation;anticipation
เปราะบาง,to be fragile
ลูบ,to touch or stroke;to caress
พ่น,to blow or spit (blowing cigarette smoke)
แววตา,expression of an eye;look in the eye
บัง,to conceal;to hide
ปา,to pitch;to throw with a downward trajectory
เมามาย,to be very drunk
ระส่ำระสาย,to be disorganized;to be in chaotic state
เป็นจังหวะ,rhythmically
บึ้งตึง,to frown
กำหมัด,to clench fist
ย้อนกลับ,to turn back;to return
กระชาก,to jerk;to snatch;to yank
อลึ่งฉึ่ง,to swell up
ยืดเวลา,to prolong;to lengthen
เครื่องสำอาง,cosmetics;make-up
ลวนลาม,to molest;to assault
แสบร้อน,skin burn
โครมคราม,with a bang (related to sound)
จับกุม,to arrest
คว้า,to clutch;to grab
ดุดัน,aggressive
ลาก,to drag
ซีดเผือด,pale (like face)
ขี้ขลาด,timid
หวาดกลัว,to be scared
พฤติกรรม,behavior;demeanor;action
พุ่งขึ้น,to soar
เมียงมอง,to peek;to peep
โค้ง,to bow
เจื่อน,sheepishly
สบตา,to make eye contact
หลั่ง,to flow in a stream
มิด,tightly;completely
อ้อนวอน,to plead;to appeal
ถ่อมตัว,to be humble;to be modest
แทรก,to squeeze through (like through a door while maintaining it partially shut)
ขัง,to confine or imprison
เอ่ยปาก,to begin to speak
คำสบถ,swear word
ขยับเขยื้อน,to move (as in movement)
มุก,pearl;to brag
คลอ,to be fillled (with tears)
ฟุ้ง,to spread;to disseminate (as in case of smoke)
หลักฐาน,evidence
ยัด,to stuff;to cram in;to devour
ยศ,rank
โวยวาย,frantic
ยืนกราน,to insist
ยืนยัน,to assert;to declare;to confirm
ตะกร้า,basket
เลือนราง,fuzzy;dim;indistinct
สับสนวุ่นวาย,to be chaotic;to muddle;to jumble
แวบ,to flash
สารภาพรัก,to confess love
กระจาย,to spread;to disseminate
เขินอาย,to be shy
แสร้งทำ,to pretend
ยัน,to prop up;to face
เรี่ยวแรง,strength
เหี่ยว,to wither;to shrivel
ผ่อนคลาย,to relax (as in the body is relaxed)
ค่อยยังชั่ว,to alleviate;to mitigate
หยาบคาย,rudely;impolitely
ประณาม,to condemn;to denounce
ซื่อสัตย์,to be upright;to be faithful
แฉะ,wet;slushy
ปักใจ,to be convinced;to believe firmly
เสี้ยว,part;piece;slice;crescent;a quarter
ปลด,to release;to untie
บั้นท้าย,ass
แก่น,nucleus;core
รูด,"to slip;to slide (slide dick inside, zip up)"
คราง,to groan;to moan
รุนแรง,to be severe;to be intense
แอบ,to hide
บรรยาย,to describe;to narrate
แจ่มชัด,to be clear
เยาะเย้ยถากถาง,to mock; to be sarcastic
หงุดหงิด,to be in a bad temper;to be irritable
เงอะงะ,to be awkward;to be clumsy
ล้วน,all;completely
ละคร,play;drama
คู่หู,partner;intimate companion
เจาะจง,to specify;to be specific
ฟ้าผ่า,to strike (lightening);thunderbolt
ปลัด,deputy
ข้าราชการ,government officer
โจม,tent;canopy
โจมตี,to assault;to attack
สืบสวน,to investigate
จิ๋ว,miniature
นาฬิกาปลุก,alarm clock
ทับกัน,to overlap
ซ่อน,to hide
ล้วง,to elicit;to extract
เท็จ,not genuine;dummy
ทยอย,in succession;one by one
เสร็จสิ้น,to end
ปลอม,to fake;to forge
แพร่,to spread
แก้แค้น,to get revenge
ซา,to moderate;to diminish;to calm down
หนีบ,to pinch;to clamp
ทื่อ,blunt
ผละ,to leave;to part away;to separate
ชุ่ม,moist;damp
ร้อนใจ,to be anxious
อึดอัด,to feel cramped;to feel uncomfortable
สั่นระริก,to palpitate;to tremble
หลบตา,to avoid someone's eyes
กล่อม,to sing lullabies
แว่ว,to hear in the distance
จั๊กจี้,to tickle
วิญญาณ,soul;spirit
เตร็ดเตร่,to stroll;to wander
มิติ,dimension
แสบตา,to have burning eyes
ยุคทอง,golden age
รุ่งเรือง,to flourish;to be prosperous
ขุ่นเคือง,to be annoyed;to be irritated
เศษ,bits;scraps;remnants
เล็บ,nails
กระจัดกระจาย,to scatter;to disperse
ตามอำเภอใจ,arbitrarily
สะเก็ด,splinters;fragments;pieces;debris
อิสรภาพ,freedom
รื่นรมย์,pleasant
หลุมดำ,black hole
ขี้โม้,boastful
เอะอะ,boisterous;noisy
ฉายา,nickname
รัว,involuntarily
คร่ำครึ,old-fashioned
หมก,to bury;to stuff in (like staying in a room all day)
สำราญ,to be good-humoured;to be happy
พอเหมาะพอควร,appropriately;suitably
เลิศ,excellent;wonderful;magnificent
เปี่ยม,to be full upto the brim;to be flush; to be replete;to teem
ชีวา,life (like teeming with life)
หลงหลือ,to remain
เถ้าถ่าน,ashes
แผ่,to spread out;to unroll
ระริก,to vibrate quickly
ห้องอนดล,a heated room for winters
ปกคลุม,to cover;to envelop
เบิกบาน,to be cheerful
ร้อนรุ่ม,to be restless;to be impatient
ตระหนัก,to realize;to be aware
ย่อ,brief;short;to make something round
แข็งทื่อ,to be rigid;to be solid (like ice)
คัน,to itch;horny (for women);a classifier for forks and spoons
มักจะคันอะไร,Where do you usually itch?
คันปาก,dying to reveal a secret
แพ้,to be allergic to; to lose
อากาศ,air;weather
ยุง,mosquito
กุ้ง,"prawn, shrimp or other shell fish"
ฝุ่น,dust
